complexity,params_mean,params_std,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,learning_rate,batch_size,epochs,alpha,degree,n_features,label_corruption
1,18.37451614909626,3.552713678800501e-15,0.4424274886871574,0.043630760716608215,0.29328478810765213,0.013014766482308204,,,,0.7943282347242815,,,0.15
2,19.734014203419925,0.0,0.41716003201126667,0.04347631771685366,0.28585176152956004,0.023354097821772227,,,,0.6309573444801932,,,0.15
3,21.163315674332928,0.0,0.42979571062403477,0.04390115554966435,0.28141013813839416,0.016931483614988377,,,,0.5011872336272722,,,0.15
4,22.66351370501642,3.552713678800501e-15,0.43588774749902753,0.05661509442515852,0.2672829053136214,0.014226173544939673,,,,0.3981071705534972,,,0.15
5,24.234196074424442,3.552713678800501e-15,0.4295533284370726,0.05217151992390401,0.2741085062286786,0.02042617442680523,,,,0.31622776601683794,,,0.15
6,25.87381978015167,0.0,0.4020437009480945,0.04826184777979712,0.26280823001519404,0.016261290385261494,,,,0.251188643150958,,,0.15
7,27.580431737211047,3.552713678800501e-15,0.3668650375910685,0.04322068240704028,0.24941339302260496,0.01762217749263723,,,,0.19952623149688797,,,0.15
8,29.352529316565665,0.0,0.3790198512592893,0.048039093040857406,0.2497352470760284,0.015585391912525247,,,,0.15848931924611134,,,0.15
9,31.189797934477042,0.0,0.38237905707327624,0.044918073730910356,0.25113427911149816,0.01730038804109673,,,,0.12589254117941673,,,0.15
10,33.093497247074524,0.0,0.3724085765667768,0.04560537670379754,0.2464820612206447,0.0235382975172491,,,,0.1,,,0.15
11,35.06638425690573,0.0,0.36724416682284516,0.04801123016181549,0.23489883648739976,0.019090256701509076,,,,0.07943282347242814,,,0.15
12,37.11221346511347,7.105427357601002e-15,0.3512658851766318,0.03327940582032508,0.2269621660950713,0.013784547730315443,,,,0.06309573444801933,,,0.15
13,39.23497920500791,0.0,0.3793689786193462,0.048335537734809975,0.2364455049687904,0.01726916842898467,,,,0.05011872336272722,,,0.15
14,41.43812037380239,7.105427357601002e-15,0.33717357488004995,0.041027921761301,0.2291348857254063,0.0216753134622911,,,,0.039810717055349734,,,0.15
15,43.72388687112664,0.0,0.35805373644647137,0.052581746983223404,0.22416947760221112,0.020186789465400052,,,,0.03162277660168379,,,0.15
16,46.09299531347904,0.0,0.33540950529318475,0.0568345201323325,0.21879320315820933,0.01732816757807081,,,,0.025118864315095794,,,0.15
