complexity,params_mean,params_std,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,learning_rate,batch_size,epochs,alpha,degree,n_features,label_corruption
1,18.703720488768433,3.552713678800501e-15,0.2664656193376411,0.0338069079977049,0.06334799150058006,0.016383121755475353,,,,0.7943282347242815,,,0.15
2,20.098686952611864,3.552713678800501e-15,0.27168422068139375,0.037470070490292245,0.06008350616066029,0.014779950444359617,,,,0.6309573444801932,,,0.15
3,21.565139643690735,7.105427357601002e-15,0.2656215217189155,0.046598501666899335,0.05658534499883493,0.020515198865810283,,,,0.5011872336272722,,,0.15
4,23.10405157605709,0.0,0.2625843848643684,0.033754998694113914,0.051602327553593744,0.012794954756928972,,,,0.3981071705534972,,,0.15
5,24.714941486875986,3.552713678800501e-15,0.2679386841100464,0.04050797186537278,0.05545462538284614,0.014442178048355445,,,,0.31622776601683794,,,0.15
6,26.396316116757042,3.552713678800501e-15,0.26547382860887914,0.03393038293365036,0.04896868124303559,0.011574815228884674,,,,0.251188643150958,,,0.15
7,28.146420099049713,7.105427357601002e-15,0.2604558686776135,0.04411638550937225,0.05448387330543407,0.025168590835539746,,,,0.19952623149688797,,,0.15
8,29.964065436823056,7.105427357601002e-15,0.27241316307990926,0.03852886586758434,0.052757960860025446,0.017910019143346157,,,,0.15848931924611134,,,0.15
9,31.849283381576083,7.105427357601002e-15,0.24388858488812662,0.03631815522096894,0.04538396743789353,0.012979298293214477,,,,0.12589254117941673,,,0.15
10,33.803601930575844,0.0,0.2499147845355402,0.0300467522601522,0.049570369113872734,0.014421184463673225,,,,0.1,,,0.15
11,35.82987896421171,7.105427357601002e-15,0.25432973421614846,0.044814877861908825,0.04510277229305093,0.013293908796391214,,,,0.07943282347242814,,,0.15
12,37.93176197374547,7.105427357601002e-15,0.24200757245575072,0.029170808062538155,0.04971808238009294,0.018644217734586663,,,,0.06309573444801933,,,0.15
