complexity,params_mean,params_std,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,learning_rate,batch_size,epochs,alpha,degree,n_features,label_corruption
1,7.0,0.0,0.9665629841107449,0.024839535207573364,0.9195348412176804,0.026868423065222555,0.001,,10000,,,,0.0
2,13.0,0.0,0.9182728395826425,0.011156047637093462,0.8951133838663724,0.005514043292761319,0.001,,10000,,,,0.0
3,19.0,0.0,0.9211622621034035,0.008440583838486025,0.895528326882004,0.015479313098908,0.001,,10000,,,,0.0
5,31.0,0.0,0.8916261324281962,0.02007527060383098,0.9154767409128285,0.01310339783703677,0.001,,10000,,,,0.0
7,43.0,0.0,0.8766320985162087,0.02032820477559528,0.9425882682695936,0.029308713721131648,0.001,,10000,,,,0.0
10,61.0,0.0,0.8291237915045023,0.015417361178612326,0.9741301473966718,0.030285499041524392,0.001,,10000,,,,0.0
15,91.0,0.0,0.7869775659725474,0.022025804167824386,1.0536746759380602,0.03673856650551563,0.001,,10000,,,,0.0
20,121.0,0.0,0.7149489986050795,0.01348228266038322,1.0932152042462087,0.030227461733336014,0.001,,10000,,,,0.0
30,181.0,0.0,0.5970582612293653,0.02243071808964127,1.2734351506631099,0.050766406712717344,0.001,,10000,,,,0.0
42,253.0,0.0,0.4838740756961581,0.03424093771395913,1.490280768228148,0.08045335403974677,0.001,,10000,,,,0.0
50,301.0,0.0,0.4326476276408111,0.023403081340910018,1.5597521872991917,0.07536237131790811,0.001,,10000,,,,0.0
60,361.0,0.0,0.35129933563434884,0.045348263360933706,1.6446540553664413,0.09992648157873771,0.001,,10000,,,,0.0
75,451.0,0.0,0.22599539791302728,0.022001900288582225,1.9997988576977554,0.15444901090690108,0.001,,10000,,,,0.0
100,601.0,0.0,0.15247196379995276,0.01730809794034676,2.0569051986538907,0.0634770731791371,0.001,,10000,,,,0.0
150,901.0,0.0,0.054077367081331276,0.005733510458738018,2.1266725618776214,0.03715185705077241,0.001,,10000,,,,0.0
200,1201.0,0.0,0.029346183737643538,0.003988375195456172,2.0862697772641465,0.08655369697963385,0.001,,10000,,,,0.0
300,1801.0,0.0,0.01898613244904389,0.0013232504613386535,1.8869198196900165,0.033781537059630676,0.001,,10000,,,,0.0
400,2401.0,0.0,0.01278922761630063,0.0021841204608132278,1.875338442766671,0.05105727029638476,0.001,,10000,,,,0.0
