complexity,params_mean,params_std,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,learning_rate,batch_size,epochs,alpha,degree,n_features,label_corruption
1,13.0,0.0,0.2369947159762804,0.0023399821111268326,0.257341486762389,0.0015697106226095414,0.001,,10000,,,,0.0
2,25.0,0.0,0.1917223489846847,0.022308182019239474,0.21880155698002618,0.031743828927687644,0.001,,10000,,,,0.0
3,37.0,0.0,0.13265212560619385,0.01602929012091122,0.1596130118793057,0.018370987453997203,0.001,,10000,,,,0.0
5,61.0,0.0,0.06847290909178112,0.021505189095609743,0.09763189470691143,0.0351351666307298,0.001,,10000,,,,0.0
7,85.0,0.0,0.06773258869890206,0.029080873132767682,0.1055100711621706,0.04079564010072179,0.001,,10000,,,,0.0
10,121.0,0.0,0.033471035267740076,0.0025577558016907764,0.07290767481795664,0.00539202250735935,0.001,,10000,,,,0.0
15,181.0,0.0,0.02839295640158181,0.0014749910122564473,0.09371123202962842,0.006910525722187641,0.001,,10000,,,,0.0
20,241.0,0.0,0.021304031281249972,0.004180298426961165,0.10952088607979518,0.01332001626530494,0.001,,10000,,,,0.0
30,361.0,0.0,0.009233921337997473,0.0014846484089537544,0.14197285706205154,0.013516102163601197,0.001,,10000,,,,0.0
42,505.0,0.0,0.0017816055208189495,0.0001935974059484623,0.1998556860103275,0.016859707084846708,0.001,,10000,,,,0.0
50,601.0,0.0,0.00035464137127518567,0.0001276114556484516,0.20824810806839342,0.022502385496533946,0.001,,10000,,,,0.0
60,721.0,0.0,1.5042049183250654e-05,4.026766890138242e-06,0.22359404735381574,0.03476363982974927,0.001,,10000,,,,0.0
75,901.0,0.0,1.132199332191811e-07,1.5390521023657225e-07,0.20231667279993898,0.030920690104002935,0.001,,10000,,,,0.0
100,1201.0,0.0,2.771738981066355e-08,5.5268540439059074e-08,0.18040088358727108,0.0184254027843484,0.001,,10000,,,,0.0
150,1801.0,0.0,7.105935500683871e-13,5.91776922288055e-13,0.17631755714885158,0.02570501572252508,0.001,,10000,,,,0.0
200,2401.0,0.0,5.261073664660841e-10,6.392725003789765e-10,0.1531166301585165,0.012457463470168972,0.001,,10000,,,,0.0
300,3601.0,0.0,3.7440416569708107e-11,6.375999269427002e-11,0.16149069307329178,0.006532715217853836,0.001,,10000,,,,0.0
400,4801.0,0.0,1.637704429545483e-05,3.2754001852770214e-05,0.1632297132951685,0.006153372889135839,0.001,,10000,,,,0.0
