complexity,run,train_mse,test_mse,params,label_corruption,learning_rate,batch_size,epochs,alpha,degree,n_features
1,0,0.23889394830182797,0.2586478787585963,13,0.0,0.001,,10000,,,
1,1,0.23412964791135446,0.2554340569611205,13,0.0,0.001,,10000,,,
1,2,0.2388738443207793,0.2586964457495543,13,0.0,0.001,,10000,,,
1,3,0.23894781114662977,0.2585225531717179,13,0.0,0.001,,10000,,,
1,4,0.23412832820081048,0.2554064991709561,13,0.0,0.001,,10000,,,
2,0,0.19422395488485972,0.24990585097614762,25,0.0,0.001,,10000,,,
2,1,0.15368112647418208,0.16789555538620726,25,0.0,0.001,,10000,,,
2,2,0.22323283386156703,0.25178639685469983,25,0.0,0.001,,10000,,,
2,3,0.1896226303203328,0.19986985061116674,25,0.0,0.001,,10000,,,
2,4,0.1978511993824818,0.22455013107190927,25,0.0,0.001,,10000,,,
3,0,0.1282016036130209,0.15248652846271168,37,0.0,0.001,,10000,,,
3,1,0.16182435172704818,0.19107204087804056,37,0.0,0.001,,10000,,,
3,2,0.1323778563213835,0.1661926012944865,37,0.0,0.001,,10000,,,
3,3,0.12800966887164084,0.15209223224012766,37,0.0,0.001,,10000,,,
3,4,0.11284714749787594,0.1362216565211622,37,0.0,0.001,,10000,,,
5,0,0.05016568170873508,0.06769823301300586,61,0.0,0.001,,10000,,,
5,1,0.05333610956477031,0.07488552965843792,61,0.0,0.001,,10000,,,
5,2,0.050643838787373704,0.06580722170649991,61,0.0,0.001,,10000,,,
5,3,0.08650197720568491,0.13051283874381683,61,0.0,0.001,,10000,,,
5,4,0.1017169381923416,0.14925565041279656,61,0.0,0.001,,10000,,,
7,0,0.044637553608634875,0.08367071149457388,85,0.0,0.001,,10000,,,
7,1,0.11075984246300902,0.1626058261159093,85,0.0,0.001,,10000,,,
7,2,0.03784376102933179,0.06103883191052015,85,0.0,0.001,,10000,,,
7,3,0.05148765536990739,0.07430973842281045,85,0.0,0.001,,10000,,,
7,4,0.09393413102362726,0.14592524786703917,85,0.0,0.001,,10000,,,
10,0,0.03660915320212696,0.07478808350478115,121,0.0,0.001,,10000,,,
10,1,0.03572290622762176,0.08178282047065974,121,0.0,0.001,,10000,,,
10,2,0.03292849545606094,0.07055063212408273,121,0.0,0.001,,10000,,,
10,3,0.03274269209415144,0.0720432531155422,121,0.0,0.001,,10000,,,
10,4,0.029351929358739304,0.06537358487471732,121,0.0,0.001,,10000,,,
15,0,0.028514631476217987,0.09044471855833675,181,0.0,0.001,,10000,,,
15,1,0.03005344065004615,0.10508093022937257,181,0.0,0.001,,10000,,,
15,2,0.028285570665909653,0.09614644515856632,181,0.0,0.001,,10000,,,
15,3,0.029384779093847964,0.08411898419477838,181,0.0,0.001,,10000,,,
15,4,0.02572636012188729,0.09276508200708808,181,0.0,0.001,,10000,,,
20,0,0.019117224786923254,0.11203014269857982,241,0.0,0.001,,10000,,,
20,1,0.02112439815339901,0.09296783316594238,241,0.0,0.001,,10000,,,
20,2,0.014916265215305636,0.11260685085770786,241,0.0,0.001,,10000,,,
20,3,0.02699233015562357,0.13138964659972613,241,0.0,0.001,,10000,,,
20,4,0.024369938094998392,0.09860995707701968,241,0.0,0.001,,10000,,,
30,0,0.009683446308437605,0.13631749058351836,361,0.0,0.001,,10000,,,
30,1,0.009020429828187172,0.14888623426313005,361,0.0,0.001,,10000,,,
30,2,0.01155272487455004,0.13017750006991366,361,0.0,0.001,,10000,,,
30,3,0.00898917105452176,0.16511607710549686,361,0.0,0.001,,10000,,,
30,4,0.006923834624290788,0.1293669832881987,361,0.0,0.001,,10000,,,
42,0,0.0019750950303114513,0.1723772195988757,505,0.0,0.001,,10000,,,
42,1,0.0019175916453999372,0.20737602547552345,505,0.0,0.001,,10000,,,
42,2,0.0014199865095798172,0.19062073956687225,505,0.0,0.001,,10000,,,
42,3,0.001807280697057033,0.20744419194914784,505,0.0,0.001,,10000,,,
