complexity,run,train_mse,test_mse,params,label_corruption,learning_rate,batch_size,epochs,alpha,degree,n_features
1,0,0.054331526381651,0.055105693144245675,7,0.0,0.001,,10000,,,
1,1,0.14050850698063286,0.1523409473120959,7,0.0,0.001,,10000,,,
1,2,0.054331531729799105,0.05510569841468038,7,0.0,0.001,,10000,,,
1,3,0.05433152772582637,0.055105693837247526,7,0.0,0.001,,10000,,,
1,4,0.14050851271715786,0.15234299916011046,7,0.0,0.001,,10000,,,
2,0,0.14050850847694013,0.15233809440282003,13,0.0,0.001,,10000,,,
2,1,0.05433152823718904,0.05519121875315307,13,0.0,0.001,,10000,,,
2,2,0.03910499616221225,0.0405807700145294,13,0.0,0.001,,10000,,,
2,3,0.039114361253022284,0.040547329396830346,13,0.0,0.001,,10000,,,
2,4,0.03337889636436697,0.03813045296206492,13,0.0,0.001,,10000,,,
3,0,0.046279020267997066,0.042674664152560354,19,0.0,0.001,,10000,,,
3,1,0.046277440891936715,0.04287463163235495,19,0.0,0.001,,10000,,,
3,2,0.04438879320354468,0.04347804628601807,19,0.0,0.001,,10000,,,
3,3,0.038649670356948024,0.03964711780658392,19,0.0,0.001,,10000,,,
3,4,0.005108478911804541,0.005692113119940817,19,0.0,0.001,,10000,,,
5,0,0.007030686086650524,0.00798639224774569,31,0.0,0.001,,10000,,,
5,1,0.006264101281024848,0.00643874754680113,31,0.0,0.001,,10000,,,
5,2,0.005732716523351402,0.007285292560388916,31,0.0,0.001,,10000,,,
5,3,0.005424168202542271,0.006569683561426558,31,0.0,0.001,,10000,,,
5,4,0.004435695351048196,0.005568086464532635,31,0.0,0.001,,10000,,,
7,0,0.005142979650209653,0.006790529007258634,43,0.0,0.001,,10000,,,
7,1,0.0012390397767709472,0.0013577942831936767,43,0.0,0.001,,10000,,,
7,2,0.004537476735437874,0.005659236273447112,43,0.0,0.001,,10000,,,
7,3,0.003757600183694925,0.004811385066785462,43,0.0,0.001,,10000,,,
7,4,0.0026043403913834956,0.0037023322553598696,43,0.0,0.001,,10000,,,
10,0,0.003160958073864743,0.004668782437647402,61,0.0,0.001,,10000,,,
10,1,0.0027245482829644364,0.0038268267315820525,61,0.0,0.001,,10000,,,
10,2,0.0031848436382500775,0.0043415133488388605,61,0.0,0.001,,10000,,,
10,3,0.003956250473482536,0.006126560343873622,61,0.0,0.001,,10000,,,
10,4,0.0030396829786280954,0.0050269594069150565,61,0.0,0.001,,10000,,,
15,0,0.0023798302231985502,0.004425594293622096,91,0.0,0.001,,10000,,,
15,1,0.0019477687464746316,0.003048736791357378,91,0.0,0.001,,10000,,,
15,2,0.0026140006396352584,0.0040646633913759365,91,0.0,0.001,,10000,,,
15,3,0.001328225507639694,0.0021869045540314058,91,0.0,0.001,,10000,,,
15,4,0.003766880478838332,0.005604489993623026,91,0.0,0.001,,10000,,,
20,0,0.003103165929116466,0.0058951886395546904,121,0.0,0.001,,10000,,,
20,1,0.0015636320543853416,0.003122323930722545,121,0.0,0.001,,10000,,,
20,2,0.00335858474807653,0.006612961161014513,121,0.0,0.001,,10000,,,
20,3,0.000645071497905448,0.0011399913038153975,121,0.0,0.001,,10000,,,
20,4,0.002263583893550117,0.0037866169555745175,121,0.0,0.001,,10000,,,
30,0,0.0005471693248693312,0.0012087743668603545,181,0.0,0.001,,10000,,,
30,1,0.00045177202959487063,0.001125747069456122,181,0.0,0.001,,10000,,,
30,2,0.0012538525441173243,0.0029092665590409583,181,0.0,0.001,,10000,,,
30,3,0.0018649815470134475,0.004485785231656881,181,0.0,0.001,,10000,,,
30,4,0.00199231883638616,0.0047727467676311405,181,0.0,0.001,,10000,,,
42,0,0.0007989546926786155,0.0023475934917308377,253,0.0,0.001,,10000,,,
42,1,0.0006522806595965944,0.0018446141284852223,253,0.0,0.001,,10000,,,
42,2,0.0007655303466541604,0.003449104410727715,253,0.0,0.001,,10000,,,
