complexity,params_mean,params_std,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,learning_rate,batch_size,epochs,alpha,degree,n_features,label_corruption
1,7.0,0.0,0.372670064633806,0.14513941017299514,0.19322435666748758,0.22438203313459448,0.001,,10000,,,,0.15
2,13.0,0.0,0.3073070018265772,0.04749606699098412,0.08045327504878919,0.03184482743244476,0.001,,10000,,,,0.15
3,19.0,0.0,0.2874787984772543,0.04767480077712701,0.06276748974115129,0.025903059911308878,0.001,,10000,,,,0.15
4,25.0,0.0,0.27250607200290167,0.031574727633890666,0.05510885228830921,0.013372315940904893,0.001,,10000,,,,0.15
5,31.0,0.0,0.27384783394881207,0.04008866299675503,0.05779316101373884,0.012804776656375238,0.001,,10000,,,,0.15
6,37.0,0.0,0.26613017223880014,0.03339404344948434,0.05179467217313137,0.013207299443281716,0.001,,10000,,,,0.15
7,43.0,0.0,0.2587175923027024,0.04430296875361091,0.060771605587130205,0.020792198096576762,0.001,,10000,,,,0.15
8,49.0,0.0,0.2688476831489693,0.03983540019718832,0.06543523805685396,0.02007404015267987,0.001,,10000,,,,0.15
9,55.0,0.0,0.2378496335640649,0.035155100511721264,0.06183221917166938,0.015843571269152167,0.001,,10000,,,,0.15
10,61.0,0.0,0.24264953052825664,0.031250016682293956,0.06665590228742697,0.0137634733423809,0.001,,10000,,,,0.15
11,67.0,0.0,0.24378791992236382,0.04098359139766756,0.06316099432037915,0.016756588696352742,0.001,,10000,,,,0.15
12,73.0,0.0,0.2285902063147786,0.02994051869606785,0.07338488322282721,0.019941030143356343,0.001,,10000,,,,0.15
13,79.0,0.0,0.23047830489376184,0.030386723307662924,0.07615778365335912,0.021623566962029828,0.001,,10000,,,,0.15
14,85.0,0.0,0.22865837101645786,0.029469450395586363,0.08321027446133669,0.027507180912120094,0.001,,10000,,,,0.15
15,91.0,0.0,0.22604444032197693,0.042696590217766096,0.09796731038549167,0.03034804654516466,0.001,,10000,,,,0.15
16,97.0,0.0,0.2229300777911168,0.034658829534538395,0.10103323687200427,0.024934151584859027,0.001,,10000,,,,0.15
17,103.0,0.0,0.2160111937556941,0.035047770608104746,0.10675391279117244,0.024745216539980498,0.001,,10000,,,,0.15
18,109.0,0.0,0.2300751009880583,0.04627225483915972,0.11530377753200491,0.03081678915986857,0.001,,10000,,,,0.15
19,115.0,0.0,0.19905350691290807,0.03144553815418613,0.09819015146089763,0.02332724281756402,0.001,,10000,,,,0.15
20,121.0,0.0,0.20284411494412674,0.025359936762912035,0.10787898710328751,0.024772521495599047,0.001,,10000,,,,0.15
21,127.0,0.0,0.21363622487301495,0.029476909739952022,0.11205107568748134,0.02613761067133492,0.001,,10000,,,,0.15
22,133.0,0.0,0.18372594739459866,0.03005656126028892,0.1157248830411979,0.030966996769571774,0.001,,10000,,,,0.15
23,139.0,0.0,0.19141763885695906,0.03656982451268036,0.1307669712026839,0.026284559446545713,0.001,,10000,,,,0.15
24,145.0,0.0,0.18638872444534335,0.033640562301329134,0.14046603221055867,0.03482938348930537,0.001,,10000,,,,0.15
25,151.0,0.0,0.17373175219924716,0.03285156711706853,0.12976535502356615,0.037929390817627154,0.001,,10000,,,,0.15
26,157.0,0.0,0.18338302725719074,0.031518932782663184,0.14607406873805145,0.03235787729521076,0.001,,10000,,,,0.15
27,163.0,0.0,0.18565205461805268,0.02635815481768539,0.1435718324090994,0.034873589826946896,0.001,,10000,,,,0.15
28,169.0,0.0,0.17582040659809778,0.026907559233410327,0.16266721709057286,0.03656889324089767,0.001,,10000,,,,0.15
29,175.0,0.0,0.16176162958778867,0.025870207298000148,0.1701056977447473,0.031609951916022644,0.001,,10000,,,,0.15
30,181.0,0.0,0.1742438737567691,0.03349447498153283,0.16584445180502794,0.03868019577769607,0.001,,10000,,,,0.15
