complexity,params_mean,params_std,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,learning_rate,batch_size,epochs,alpha,degree,n_features,label_corruption
1,7.0,0.0,0.575134662718028,0.17480025304023644,0.44231551350255083,0.20598941120536726,0.001,,10000,,,,0.15
2,13.0,0.0,0.4423021675974059,0.07062079089980519,0.3062698203945109,0.0903413396886982,0.001,,10000,,,,0.15
3,19.0,0.0,0.399359072090628,0.06158949725696098,0.23651488689427302,0.05841060308898472,0.001,,10000,,,,0.15
4,25.0,0.0,0.3697388454383722,0.06766459255721743,0.20394137259957196,0.02447751944485707,0.001,,10000,,,,0.15
5,31.0,0.0,0.39390645883027187,0.06481262685606605,0.23066860315699184,0.04058398834210386,0.001,,10000,,,,0.15
6,37.0,0.0,0.35361217555000957,0.05893209525653703,0.2328167837353162,0.03720927870987684,0.001,,10000,,,,0.15
7,43.0,0.0,0.32645881689837475,0.05350998783296135,0.22136184299753353,0.03237561195065812,0.001,,10000,,,,0.15
8,49.0,0.0,0.33466050363606487,0.049861821721538295,0.2251346239609897,0.02901761038248821,0.001,,10000,,,,0.15
9,55.0,0.0,0.33471515955239267,0.056339663518771343,0.2404078693083298,0.0417105546691041,0.001,,10000,,,,0.15
10,61.0,0.0,0.3303217635895764,0.05410002590307241,0.24021611696654105,0.039192798541012985,0.001,,10000,,,,0.15
11,67.0,0.0,0.3218872622857963,0.04369233002884557,0.22750317750854193,0.029535168343609686,0.001,,10000,,,,0.15
12,73.0,0.0,0.2981243620995735,0.03388512601365337,0.22579192559376654,0.02868296424711868,0.001,,10000,,,,0.15
13,79.0,0.0,0.32958457659023555,0.04787861294171389,0.26242986303652427,0.051776419387372576,0.001,,10000,,,,0.15
14,85.0,0.0,0.2925881798334591,0.04006848962698293,0.2557932531190633,0.03709885321175901,0.001,,10000,,,,0.15
15,91.0,0.0,0.306532376297192,0.046191333785137005,0.25475604922379647,0.03347578270584881,0.001,,10000,,,,0.15
