complexity,run,train_mse,test_mse,params,label_corruption,learning_rate,batch_size,epochs,alpha,degree,n_features
1,0,0.2872666954803978,0.2971576310582657,13,0.0,0.001,,3000,,,
1,1,0.22937158032823451,0.24905729895916295,13,0.0,0.001,,3000,,,
1,2,0.26148066252703306,0.27123077999428163,13,0.0,0.001,,3000,,,
2,0,0.1997425429338272,0.25612983876751266,25,0.0,0.001,,3000,,,
2,1,0.14480162546897174,0.1693790098370112,25,0.0,0.001,,3000,,,
2,2,0.20488658778285782,0.23209638039644057,25,0.0,0.001,,3000,,,
3,0,0.1559464716318974,0.20649892468379089,37,0.0,0.001,,3000,,,
3,1,0.16020510114636205,0.19240920165701883,37,0.0,0.001,,3000,,,
3,2,0.21149982146967983,0.2576862233602466,37,0.0,0.001,,3000,,,
4,0,0.10912670598333725,0.1454309437073777,49,0.0,0.001,,3000,,,
4,1,0.14406672699910894,0.19885782171095331,49,0.0,0.001,,3000,,,
4,2,0.15081740360984144,0.198221373351533,49,0.0,0.001,,3000,,,
5,0,0.13741649794236957,0.17484840130752627,61,0.0,0.001,,3000,,,
5,1,0.1964556205769621,0.25489893772876554,61,0.0,0.001,,3000,,,
5,2,0.11940597520816656,0.15990015019127987,61,0.0,0.001,,3000,,,
6,0,0.07625245700237272,0.11099106935918775,73,0.0,0.001,,3000,,,
6,1,0.08280672853436462,0.11251997852760377,73,0.0,0.001,,3000,,,
6,2,0.0731567842642579,0.10670789500803464,73,0.0,0.001,,3000,,,
7,0,0.05696773274271854,0.08486943648707027,85,0.0,0.001,,3000,,,
7,1,0.11312059506906777,0.16969214078672765,85,0.0,0.001,,3000,,,
7,2,0.06023837195322029,0.08755301787965222,85,0.0,0.001,,3000,,,
8,0,0.07224724173148601,0.11937554405548113,97,0.0,0.001,,3000,,,
8,1,0.051059466796397626,0.07961673740940714,97,0.0,0.001,,3000,,,
8,2,0.07094952975250854,0.11090876637577644,97,0.0,0.001,,3000,,,
9,0,0.07948727847215034,0.14157779184427785,109,0.0,0.001,,3000,,,
9,1,0.06899481890416734,0.10186780164749072,109,0.0,0.001,,3000,,,
9,2,0.05073087337745516,0.07837049291761368,109,0.0,0.001,,3000,,,
10,0,0.05385608831774837,0.09020958293889376,121,0.0,0.001,,3000,,,
10,1,0.03454980465640671,0.06841994698206147,121,0.0,0.001,,3000,,,
10,2,0.016585250291852965,0.028711033711754312,121,0.0,0.001,,3000,,,
11,0,0.047303056763330804,0.0750967746258316,133,0.0,0.001,,3000,,,
11,1,0.04581225463825971,0.07738990449891625,133,0.0,0.001,,3000,,,
11,2,0.028398388126934425,0.04281290484475409,133,0.0,0.001,,3000,,,
12,0,0.030453691411519004,0.0552308957445638,145,0.0,0.001,,3000,,,
12,1,0.044669897636863784,0.07397105880940634,145,0.0,0.001,,3000,,,
12,2,0.0343456654778559,0.06241978238787266,145,0.0,0.001,,3000,,,
13,0,0.04923787044079731,0.09795837085405605,157,0.0,0.001,,3000,,,
13,1,0.014521092070697076,0.031217524406946702,157,0.0,0.001,,3000,,,
13,2,0.049611812540106236,0.09713465868571075,157,0.0,0.001,,3000,,,
