complexity,params_mean,params_std,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,learning_rate,batch_size,epochs,alpha,degree,n_features,label_corruption
1,13.0,0.0,0.38720909031255485,0.010487463363400989,0.2502115604378113,0.004797314672871309,0.01,,3000,,,,0.15
2,25.0,0.0,0.4018375530127904,0.01451456870684631,0.2505176652404017,0.012901983301981763,0.01,,3000,,,,0.15
3,37.0,0.0,0.397210353943614,0.05128963395221631,0.2318201525367447,0.0141316192045879,0.01,,3000,,,,0.15
4,49.0,0.0,0.3034153780592898,0.019013499569506348,0.20196475658625948,0.021458258898552785,0.01,,3000,,,,0.15
5,61.0,0.0,0.3231948015864447,0.04762445865043199,0.16301674311500727,0.02166382232842542,0.01,,3000,,,,0.15
6,73.0,0.0,0.2635099809345149,0.013636730110264337,0.14161825570088268,0.025815667833268656,0.01,,3000,,,,0.15
7,85.0,0.0,0.2744353223447698,0.04197231099384012,0.15548118679764586,0.03209473462725561,0.01,,3000,,,,0.15
8,97.0,0.0,0.2681850512884596,0.023486758376086526,0.18118083954154718,0.02119159652545301,0.01,,3000,,,,0.15
9,109.0,0.0,0.2502233534411156,0.018221726405217818,0.15826386938536316,0.009271239227067546,0.01,,3000,,,,0.15
10,121.0,0.0,0.23910973254117596,0.01576082453639386,0.15296229247864235,0.02754506626635533,0.01,,3000,,,,0.15
11,133.0,0.0,0.22275065950438067,0.0314200951974351,0.15501010840861515,0.02673673369453479,0.01,,3000,,,,0.15
12,145.0,0.0,0.2296370479960431,0.006231126294427249,0.19735831627633382,0.01403520230924539,0.01,,3000,,,,0.15
13,157.0,0.0,0.2405416657992064,0.0241670953485723,0.21238404388961496,0.02634649101255886,0.01,,3000,,,,0.15
14,169.0,0.0,0.19748206322516573,0.006259467992026354,0.17417512895837817,0.0061781338285275475,0.01,,3000,,,,0.15
15,181.0,0.0,0.20579020007227322,0.013977305272001481,0.15976710409918457,0.01603306702413995,0.01,,3000,,,,0.15
16,193.0,0.0,0.1878425478912156,0.00955837937322024,0.23017727759620765,0.032365339348578555,0.01,,3000,,,,0.15
17,205.0,0.0,0.18518160255132754,0.02484629158812801,0.18121442791188347,0.011754879086018908,0.01,,3000,,,,0.15
18,217.0,0.0,0.18642315679344643,0.02315887508172803,0.22169630957384098,0.022994981275594052,0.01,,3000,,,,0.15
