complexity,run,train_mse,test_mse,params,label_corruption,learning_rate,batch_size,epochs,alpha,degree,n_features
1,0,0.23889394830182797,0.2586478787585963,13,0.0,0.001,,10000,,,
1,1,0.23412964791135446,0.2554340569611205,13,0.0,0.001,,10000,,,
1,2,0.2388738443207793,0.2586964457495543,13,0.0,0.001,,10000,,,
1,3,0.23894781114662977,0.2585225531717179,13,0.0,0.001,,10000,,,
1,4,0.23412832820081048,0.2554064991709561,13,0.0,0.001,,10000,,,
1,5,0.23883605903809887,0.2587669991969569,13,0.0,0.001,,10000,,,
1,6,0.234126686859647,0.2554314149918536,13,0.0,0.001,,10000,,,
1,7,0.23412524099943044,0.2554189183504248,13,0.0,0.001,,10000,,,
1,8,0.23883543725891956,0.2587739593683192,13,0.0,0.001,,10000,,,
1,9,0.23885007623275353,0.2587369445888761,13,0.0,0.001,,10000,,,
1,10,0.23891001829959005,0.2586020752808785,13,0.0,0.001,,10000,,,
1,11,0.23899486679564472,0.25839279390646885,13,0.0,0.001,,10000,,,
1,12,0.23412588242594795,0.2553975066478613,13,0.0,0.001,,10000,,,
1,13,0.2341253014857005,0.2554233244244314,13,0.0,0.001,,10000,,,
1,14,0.23412553173537076,0.2554202365508712,13,0.0,0.001,,10000,,,
1,15,0.23412591986236247,0.2554249645008553,13,0.0,0.001,,10000,,,
1,16,0.23888938759817574,0.25866250221044584,13,0.0,0.001,,10000,,,
1,17,0.23888400374460395,0.25868104625577604,13,0.0,0.001,,10000,,,
1,18,0.2388354331409977,0.25877382406818017,13,0.0,0.001,,10000,,,
1,19,0.2341280636857779,0.2554089733614034,13,0.0,0.001,,10000,,,
2,0,0.19422395488485972,0.24990585097614762,25,0.0,0.001,,10000,,,
2,1,0.15368112647418208,0.16789555538620726,25,0.0,0.001,,10000,,,
2,2,0.22323283386156703,0.25178639685469983,25,0.0,0.001,,10000,,,
2,3,0.1896226303203328,0.19986985061116674,25,0.0,0.001,,10000,,,
2,4,0.1978511993824818,0.22455013107190927,25,0.0,0.001,,10000,,,
2,5,0.23086016743285664,0.25842439282574,25,0.0,0.001,,10000,,,
2,6,0.15551478720826245,0.17738922032761376,25,0.0,0.001,,10000,,,
2,7,0.22324193244149967,0.25179034705209125,25,0.0,0.001,,10000,,,
2,8,0.15367439411345102,0.16784247420601436,25,0.0,0.001,,10000,,,
2,9,0.15554386453595942,0.17159423593226222,25,0.0,0.001,,10000,,,
2,10,0.22323545645144113,0.25177320080987986,25,0.0,0.001,,10000,,,
2,11,0.2341325848515808,0.2592558304883395,25,0.0,0.001,,10000,,,
2,12,0.1906323731716239,0.22051308969956443,25,0.0,0.001,,10000,,,
2,13,0.155514787830756,0.17738951236745182,25,0.0,0.001,,10000,,,
2,14,0.1548755308734531,0.17187099800237274,25,0.0,0.001,,10000,,,
2,15,0.18885231087560664,0.22721087771342532,25,0.0,0.001,,10000,,,
2,16,0.1555147846288022,0.17738921933545992,25,0.0,0.001,,10000,,,
2,17,0.1536806500340723,0.16795053130525203,25,0.0,0.001,,10000,,,
2,18,0.1888525910976097,0.2272317074329082,25,0.0,0.001,,10000,,,
2,19,0.22323524418105403,0.2517690624607987,25,0.0,0.001,,10000,,,
3,0,0.1282016036130209,0.15248652846271168,37,0.0,0.001,,10000,,,
3,1,0.16182435172704818,0.19107204087804056,37,0.0,0.001,,10000,,,
3,2,0.1323778563213835,0.1661926012944865,37,0.0,0.001,,10000,,,
3,3,0.12800966887164084,0.15209223224012766,37,0.0,0.001,,10000,,,
3,4,0.11284714749787594,0.1362216565211622,37,0.0,0.001,,10000,,,
3,5,0.13159298315113085,0.14968932769442633,37,0.0,0.001,,10000,,,
3,6,0.17133495381270372,0.21730349861273265,37,0.0,0.001,,10000,,,
3,7,0.11252171483605576,0.14375584252490245,37,0.0,0.001,,10000,,,
3,8,0.1354276537003808,0.18252245904027542,37,0.0,0.001,,10000,,,
