complexity,params_mean,params_std,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,learning_rate,batch_size,epochs,alpha,degree,n_features,label_corruption
1,13.0,0.0,0.443670903647035,0.022921425695467956,0.30948291685410684,0.015542546826916954,0.001,,3000,,,,0.15
2,25.0,0.0,0.414274910949491,0.020818285304471492,0.2839672222628895,0.029039792024232527,0.001,,3000,,,,0.15
3,37.0,0.0,0.4220413952969954,0.03426798586577331,0.27754526343344404,0.02585517351960867,0.001,,3000,,,,0.15
4,49.0,0.0,0.3151089046231833,0.02759727305027251,0.24171479018960396,0.022455278414639342,0.001,,3000,,,,0.15
5,61.0,0.0,0.3973080630004815,0.05817319039256397,0.28103290444485785,0.03693756679988497,0.001,,3000,,,,0.15
6,73.0,0.0,0.3018752321587652,0.03348222906241522,0.18126272734459037,0.017659828326451552,0.001,,3000,,,,0.15
7,85.0,0.0,0.3133033431221051,0.04472670552561855,0.19165713424589073,0.025256049001940215,0.001,,3000,,,,0.15
8,97.0,0.0,0.28541195439363365,0.02802855991023426,0.1727227707665103,0.018253744997576746,0.001,,3000,,,,0.15
9,109.0,0.0,0.30600902784854656,0.02006005321325387,0.21313049618052923,0.017771349766848455,0.001,,3000,,,,0.15
10,121.0,0.0,0.26595020210913073,0.024831137904091735,0.17126682646978394,0.011960045677940932,0.001,,3000,,,,0.15
11,133.0,0.0,0.21983769727873906,0.0329991895522139,0.15054617706201565,0.03413040330629733,0.001,,3000,,,,0.15
12,145.0,0.0,0.2402897443762451,0.006031323844629987,0.16900507359555358,0.011848444518377925,0.001,,3000,,,,0.15
13,157.0,0.0,0.22900924576551032,0.054232589662985775,0.23311595576051805,0.02336269337593982,0.001,,3000,,,,0.15
14,169.0,0.0,0.21155991616416517,0.03230233228587614,0.1604796589736067,0.008741821520083843,0.001,,3000,,,,0.15
15,181.0,0.0,0.21511812626621732,0.0032373316878952967,0.19725665921121274,0.015494686803288875,0.001,,3000,,,,0.15
16,193.0,0.0,0.21107643226342457,0.009668952427160923,0.1997029079703417,0.021443376575348654,0.001,,3000,,,,0.15
17,205.0,0.0,0.1997793228785156,0.025290575279753348,0.18799540769719777,0.022917053468301137,0.001,,3000,,,,0.15
18,217.0,0.0,0.1863895502690404,0.006282823751416625,0.2131735512837212,0.009350603402863552,0.001,,3000,,,,0.15
19,229.0,0.0,0.1782758685779369,0.01094660387484838,0.2301621380678934,0.022678747046280145,0.001,,3000,,,,0.15
20,241.0,0.0,0.16893573613006144,0.02336301848776362,0.22037660869232192,0.03478884567992018,0.001,,3000,,,,0.15
21,253.0,0.0,0.17045340698898173,0.011192724386989686,0.2227267182052403,0.02346468969492788,0.001,,3000,,,,0.15
22,265.0,0.0,0.15523376829940674,0.014176059717099721,0.2612107082304735,0.04386164350163393,0.001,,3000,,,,0.15
23,277.0,0.0,0.13682865731372706,0.03212788317419015,0.22822618951859266,0.014713210371972511,0.001,,3000,,,,0.15
24,289.0,0.0,0.13322973128422974,0.03347864003153926,0.22501417631739998,0.03341860853073711,0.001,,3000,,,,0.15
