complexity,params_mean,params_std,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,learning_rate,batch_size,epochs,alpha,degree,n_features,label_corruption
1,1.0,0.0,1.0015888951824965,0.03264189114043722,1.139086368309509,0.0,,,,0.0001,3,,0.15
2,2.0,0.0,0.9987756871188241,0.02856363770707497,1.144406328193295,0.0031540117077143823,,,,0.0001,3,,0.15
3,3.0,0.0,0.7654517849531449,0.04142894803060251,0.7531445484153002,0.008039985392038547,,,,0.0001,3,,0.15
4,4.0,0.0,0.3898865884907792,0.03639203766599176,0.18564617742679126,0.010311380823814033,,,,0.0001,3,,0.15
5,5.0,0.0,0.37789081451222734,0.03548206240886032,0.1889422023077578,0.009907350410663488,,,,0.0001,3,,0.15
6,6.0,0.0,0.38026878952734405,0.03836227418965421,0.1868992873889568,0.010406895165254473,,,,0.0001,3,,0.15
7,7.0,0.0,0.3743368741410756,0.03859392690681989,0.18932537296532337,0.010872587046881207,,,,0.0001,3,,0.15
8,8.0,0.0,0.38153613739433523,0.04016891390831811,0.1922067478762044,0.014105907261087406,,,,0.0001,3,,0.15
9,9.0,0.0,0.3617053781111777,0.03766437888261207,0.19059334262525346,0.009848494761982574,,,,0.0001,3,,0.15
10,10.0,0.0,0.3636528728178352,0.033932478718228014,0.19102936963151937,0.01092811592753237,,,,0.0001,3,,0.15
11,11.0,0.0,0.27246040876008065,0.04278970767468278,0.03259715631387253,0.011309849538728703,,,,0.0001,3,,0.15
12,12.0,0.0,0.25937405996510327,0.03851291021539183,0.02856724913653613,0.009929796800066422,,,,0.0001,3,,0.15
13,13.0,0.0,0.2615511542841393,0.03047834782244495,0.03367009054890121,0.01069526106484645,,,,0.0001,3,,0.15
14,14.0,0.0,0.26690325534158327,0.03600141917077319,0.035174098572902913,0.014854260071158691,,,,0.0001,3,,0.15
15,15.0,0.0,0.26812707130334296,0.04176677771365027,0.0373566747511628,0.014606175577710946,,,,0.0001,3,,0.15
16,16.0,0.0,0.2747118206059303,0.046355752863476804,0.03526322864435867,0.011514188032873055,,,,0.0001,3,,0.15
17,17.0,0.0,0.27546111294601183,0.04259824907811279,0.04089825500304973,0.013576362987832137,,,,0.0001,3,,0.15
18,18.0,0.0,0.27010691819596633,0.047294170264815374,0.03788520455347097,0.01249940007383667,,,,0.0001,3,,0.15
19,19.0,0.0,0.26319279638744847,0.038883302128905346,0.03693942405040901,0.011698810661286384,,,,0.0001,3,,0.15
20,20.0,0.0,0.2628835145003691,0.03587146284848604,0.038804719420942664,0.013277823840427099,,,,0.0001,3,,0.15
21,21.0,0.0,0.26372667187684357,0.03781125111410933,0.035669841318140404,0.01037330791123266,,,,0.0001,3,,0.15
22,22.0,0.0,0.25382563655985113,0.038286558910079996,0.039151958774874984,0.012978717320596085,,,,0.0001,3,,0.15
23,23.0,0.0,0.26631264562676804,0.043565283676369526,0.039600805206049874,0.013001849778316013,,,,0.0001,3,,0.15
24,24.0,0.0,0.2632910147391623,0.043082182267492566,0.04229846179478874,0.015990885952592234,,,,0.0001,3,,0.15
25,25.0,0.0,0.25669934794610655,0.04260957475283834,0.045264239173832335,0.018515337120683265,,,,0.0001,3,,0.15
26,26.0,0.0,0.2618174495610561,0.044867165612153,0.041255236114458575,0.015255711480399708,,,,0.0001,3,,0.15
27,27.0,0.0,0.2642698242539209,0.0363751242451222,0.04600387202930484,0.019617370711217882,,,,0.0001,3,,0.15
28,28.0,0.0,0.26214973538770747,0.03755116515735356,0.04657066325136335,0.018621617977805555,,,,0.0001,3,,0.15
29,29.0,0.0,0.25663954060376304,0.04193819207834896,0.04889108235098201,0.015826379146249465,,,,0.0001,3,,0.15
30,30.0,0.0,0.24654392392251417,0.04214425630377226,0.04531356144971685,0.015533146133531274,,,,0.0001,3,,0.15
31,31.0,0.0,0.2646796520590534,0.04557635404760512,0.048511115691298665,0.019824458261961553,,,,0.0001,3,,0.15
32,32.0,0.0,0.2533109707888913,0.03429410499346519,0.047178721723071027,0.01647771072304303,,,,0.0001,3,,0.15
33,33.0,0.0,0.26069131821228647,0.03753238073923163,0.05847858895881231,0.020597113247556604,,,,0.0001,3,,0.15
34,34.0,0.0,0.25549683498068615,0.03475769222369581,0.056273318377161034,0.027190150819491082,,,,0.0001,3,,0.15
35,35.0,0.0,0.25200895475873897,0.03977054306194204,0.053864093489223545,0.021817611419613848,,,,0.0001,3,,0.15
36,35.0,0.0,0.2562810861705426,0.03228193294899613,0.05615396909443171,0.024327287029834443,,,,0.0001,3,,0.15
37,35.0,0.0,0.25524090700749885,0.04039946834174853,0.051197358674180266,0.01793927234626412,,,,0.0001,3,,0.15
38,35.0,0.0,0.2558949029741299,0.03350002180233563,0.05409455745908623,0.020497656170941916,,,,0.0001,3,,0.15
39,35.0,0.0,0.251412484875752,0.04069507788809197,0.054703883597450584,0.023962815174622582,,,,0.0001,3,,0.15
