complexity,run,train_mse,test_mse,params,label_corruption,learning_rate,batch_size,epochs,alpha,degree,n_features
1,0,1.009049959954239,0.9407351301904502,1,0.15,,,,0.0001,7,
1,1,1.0315671353214133,0.9407351301904502,1,0.15,,,,0.0001,7,
1,2,1.0194714119507917,0.9407351301904502,1,0.15,,,,0.0001,7,
1,3,1.0211524637654554,0.9407351301904502,1,0.15,,,,0.0001,7,
1,4,1.0162607224470657,0.9407351301904502,1,0.15,,,,0.0001,7,
1,5,0.9992815484625617,0.9407351301904502,1,0.15,,,,0.0001,7,
1,6,0.9357865756055376,0.9407351301904502,1,0.15,,,,0.0001,7,
1,7,0.9682217470462001,0.9407351301904502,1,0.15,,,,0.0001,7,
1,8,1.0053124612738693,0.9407351301904502,1,0.15,,,,0.0001,7,
1,9,0.9597092789656877,0.9407351301904502,1,0.15,,,,0.0001,7,
1,10,0.9677796755744643,0.9407351301904502,1,0.15,,,,0.0001,7,
1,11,1.010842243121897,0.9407351301904502,1,0.15,,,,0.0001,7,
1,12,0.9507386448618468,0.9407351301904502,1,0.15,,,,0.0001,7,
1,13,0.9857767992908382,0.9407351301904502,1,0.15,,,,0.0001,7,
1,14,1.0358726735350026,0.9407351301904502,1,0.15,,,,0.0001,7,
1,15,1.0033360113312555,0.9407351301904502,1,0.15,,,,0.0001,7,
1,16,1.0439117648482925,0.9407351301904502,1,0.15,,,,0.0001,7,
1,17,1.0289274970912703,0.9407351301904502,1,0.15,,,,0.0001,7,
1,18,1.0104533283910018,0.9407351301904502,1,0.15,,,,0.0001,7,
1,19,0.9942305597654348,0.9407351301904502,1,0.15,,,,0.0001,7,
2,0,1.0490517429187618,0.9294347991680809,2,0.15,,,,0.0001,7,
2,1,0.9770093448170342,0.9286627661502687,2,0.15,,,,0.0001,7,
2,2,0.9714064110842865,0.9285700181288743,2,0.15,,,,0.0001,7,
2,3,1.0065501785855666,0.9337513147804314,2,0.15,,,,0.0001,7,
2,4,0.9998049372143408,0.9290578177879272,2,0.15,,,,0.0001,7,
2,5,1.0172873612773554,0.9300919287206462,2,0.15,,,,0.0001,7,
2,6,1.0204677010635665,0.9291079272323646,2,0.15,,,,0.0001,7,
2,7,0.9904907992017954,0.9284162687233984,2,0.15,,,,0.0001,7,
2,8,0.9123884064837675,0.931614185129916,2,0.15,,,,0.0001,7,
2,9,0.9120123848269642,0.9282249007278804,2,0.15,,,,0.0001,7,
2,10,0.9850073574386216,0.9292262517524944,2,0.15,,,,0.0001,7,
2,11,1.0047440009347337,0.930406604722999,2,0.15,,,,0.0001,7,
2,12,0.9427943136805595,0.9295198806647891,2,0.15,,,,0.0001,7,
2,13,1.0222190682670733,0.9307557771594863,2,0.15,,,,0.0001,7,
2,14,0.9697545934044803,0.9294112414554656,2,0.15,,,,0.0001,7,
2,15,0.953934706647891,0.9290735015218268,2,0.15,,,,0.0001,7,
2,16,0.9727597733750901,0.9318989959595322,2,0.15,,,,0.0001,7,
2,17,0.9889226894353452,0.9306844456150133,2,0.15,,,,0.0001,7,
2,18,1.0040718214932511,0.9304080548600521,2,0.15,,,,0.0001,7,
2,19,0.9607002220667579,0.9288578327090424,2,0.15,,,,0.0001,7,
3,0,0.9720888123499137,0.9174778692345021,3,0.15,,,,0.0001,7,
3,1,1.048132722452214,0.9180425976745948,3,0.15,,,,0.0001,7,
3,2,0.9697178633147568,0.9182829037105181,3,0.15,,,,0.0001,7,
3,3,1.056396712116213,0.9186510221879309,3,0.15,,,,0.0001,7,
3,4,0.9677179679854065,0.9207775468854531,3,0.15,,,,0.0001,7,
3,5,0.9997900953511585,0.9184145632240461,3,0.15,,,,0.0001,7,
3,6,1.012669927166852,0.9191468047662595,3,0.15,,,,0.0001,7,
3,7,0.98991385789314,0.9172644874910607,3,0.15,,,,0.0001,7,
3,8,1.036661543742706,0.9216692846928052,3,0.15,,,,0.0001,7,
3,9,0.9540727793311294,0.917193670162203,3,0.15,,,,0.0001,7,
3,10,0.9545266542175364,0.9186306274498088,3,0.15,,,,0.0001,7,
3,11,0.9792860689920654,0.9200928148018791,3,0.15,,,,0.0001,7,
3,12,0.9372039498332199,0.9178276434410209,3,0.15,,,,0.0001,7,
3,13,0.9743264356940764,0.9176907926560176,3,0.15,,,,0.0001,7,
3,14,1.0115324218248467,0.9176744254349428,3,0.15,,,,0.0001,7,
3,15,0.9932627277381297,0.9200908771487659,3,0.15,,,,0.0001,7,
3,16,0.9937105595685051,0.9176530398958342,3,0.15,,,,0.0001,7,
3,17,0.9945161797765302,0.9182901036416432,3,0.15,,,,0.0001,7,
3,18,0.985018729545711,0.9196283607387207,3,0.15,,,,0.0001,7,
3,19,1.0263445102831183,0.9187896746218599,3,0.15,,,,0.0001,7,
4,0,0.9234286630014676,0.8903455028949248,4,0.15,,,,0.0001,7,
4,1,0.9132851971586994,0.8918072692462422,4,0.15,,,,0.0001,7,
4,2,1.0277442508069605,0.8920457922157929,4,0.15,,,,0.0001,7,
4,3,0.9641883109094811,0.8919053476915592,4,0.15,,,,0.0001,7,
4,4,0.916046415010029,0.8921450718599745,4,0.15,,,,0.0001,7,
4,5,0.9943854425395918,0.8920463489007159,4,0.15,,,,0.0001,7,
4,6,0.9209932475599382,0.891379886964355,4,0.15,,,,0.0001,7,
4,7,0.9466633519334369,0.8918834415516846,4,0.15,,,,0.0001,7,
4,8,0.9581565180097252,0.8939490295076934,4,0.15,,,,0.0001,7,
4,9,0.9710389717237021,0.8914074585334237,4,0.15,,,,0.0001,7,
4,10,0.9759486780379004,0.895020664661206,4,0.15,,,,0.0001,7,
4,11,0.9129542600943314,0.8904960860222005,4,0.15,,,,0.0001,7,
4,12,0.9375403699505812,0.8900758694068932,4,0.15,,,,0.0001,7,
4,13,0.9537056987645203,0.8937277058062504,4,0.15,,,,0.0001,7,
4,14,0.9394907315147978,0.8906338392694779,4,0.15,,,,0.0001,7,
4,15,0.9411800135861785,0.8900685998997632,4,0.15,,,,0.0001,7,
4,16,0.987768000636974,0.8908768674753365,4,0.15,,,,0.0001,7,
4,17,0.9923252222007669,0.8915213984049106,4,0.15,,,,0.0001,7,
4,18,0.8681399874941571,0.891168251146355,4,0.15,,,,0.0001,7,
4,19,0.9612071639626625,0.8922649943325042,4,0.15,,,,0.0001,7,
5,0,1.0343970296064726,0.899411939792654,5,0.15,,,,0.0001,7,
5,1,0.9455620846687801,0.8909208449951277,5,0.15,,,,0.0001,7,
5,2,0.9323506365632425,0.8935056642897532,5,0.15,,,,0.0001,7,
5,3,0.988120207176536,0.8907687327166932,5,0.15,,,,0.0001,7,
